id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,Harborside-Walk to subway,4804,1462506429675641583,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,,29,27,2025-09-30,0.21,1,184,1,
5506,** Fort Hill Inn Private! Minutes to center!**,8229,1462506610204730632,Terry,,Roxbury,42.32844,-71.09581,Entire home/apt,,3,140,2025-12-07,0.69,11,298,9,STR-490093
6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",8229,1462506610204730632,Terry,,Roxbury,42.32802,-71.09387,Entire home/apt,,3,143,2025-11-29,0.72,11,237,8,STR-491702
10811,Bostons Best Rentals -Studio Prestigious Back Bay,38997,1462507326675374812,Michelle,,Back Bay,42.35173,-71.08685,Entire home/apt,,91,9,2019-07-22,0.07,9,233,0,
10813,The Back Bay Nook  -Brownstone in Prestigious Area,38997,1462507326675374812,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,,32,6,2025-06-30,0.07,9,211,1,
18711,The Dorset Redline ~ Pvt Apt | 3BR 1BA | w/AC & WD,71783,1462508362719740106,Swank Properties Boston,,Dorchester,42.32212,-71.06096,Entire home/apt,,30,51,2023-08-19,0.27,56,241,0,
29765,Moroccan Decor Suite,128280,1462510328011930483,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,,2,103,2024-10-27,0.54,1,252,0,STR-454024
40601,Private room & bath - Jamaica Plain,174986,1462511771064718213,Robert,,Jamaica Plain,42.31347,-71.11082,Private room,,10,105,2025-11-21,0.56,1,221,3,STR-551851
45987,Garden Studio,205107,1462512590666109496,Atef,,Charlestown,42.37424,-71.06081,Entire home/apt,,29,145,2025-12-17,0.78,1,82,4,STR-409822
47521,Bright Furnished Room with Separate Entrance,119019,1462510028211654672,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,,1,344,2025-12-22,1.85,5,3,10,STR-595734
60029,Room in geographical heart of Hub,255183,1462513893145710063,Michelle,,Roxbury,42.32546,-71.08894,Private room,,29,145,2024-02-29,0.79,1,211,0,STR-415714
60356,Bookcase 1bd facing Boston Common,26988,1462507068700680197,Anne,,Beacon Hill,42.35894,-71.0631,Entire home/apt,,32,19,2020-09-08,0.13,4,364,0,
77681,Waterfall Room: Bunker Hill B&B,416912,1462517874347289451,Christiane,,Charlestown,42.37865,-71.06373,Private room,,29,71,2023-11-04,0.41,1,365,0,STR-415924
77691,Private room in Victorian house,119019,1462510028211654672,Hermina,,Dorchester,42.29871,-71.05954,Private room,,29,304,2025-01-10,1.69,5,322,1,STR-580274
163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,8229,1462506610204730632,Terry,,Roxbury,42.32806,-71.09423,Entire home/apt,,3,328,2025-12-07,1.88,11,231,38,STR-446659
184893,City Oasis/sleeps 4 near historical sites,887148,1462514927454911252,Dawn,,Charlestown,42.37823,-71.06778,Entire home/apt,,91,0,,,3,270,0,STR-539322
197727,"Great Boston neighborhood , Jamaica Plain",964356,1462534430080317943,Jill,,Jamaica Plain,42.31331,-71.12061,Private room,,30,68,2025-11-22,0.39,1,148,5,
197972,Serene Studio in a Perfect Location,965697,1462534483105275808,Kristina,,Jamaica Plain,42.31533,-71.11025,Entire home/apt,,3,578,2025-11-10,3.34,2,151,43,STR-409453
205894,Large bedroom in Victorian House/Room D,119019,1462510028211654672,Hermina,,Dorchester,42.29871,-71.05954,Private room,,1,217,2024-10-08,1.24,5,314,0,STR-594613
210097,Treetop Haven in the City,1035747,1462536391461286429,Maria Elena,,Jamaica Plain,42.31685,-71.10867,Entire home/apt,,1,335,2025-11-28,1.93,1,128,22,STR-545902
220676,Private room off the Freedom Trail.,1144302,1462538176645156323,Howard,,North End,42.36614,-71.05226,Private room,,1,378,2025-12-15,2.18,1,162,32,STR-454055
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,1462543579909933012,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,,2,545,2025-11-29,3.33,1,274,35,STR-411297
